image,config,CL,Q_BRISQUE,Q_NIQE
001.png,w/o Rich teacher,4.375393027214266,29.5323486328125,3.3739113538364425
001.png,w/o trajectory selection,3.774208048760443,30.413818359375,3.457985716573482
001.png,w/o QAT (post-quant),3.180454442288028,31.4156494140625,3.5854896525859634
001.png,Full (DT--QAT),4.214365557543506,29.77496337890625,3.416935791674964
002.png,w/o Rich teacher,6.306819432999392,19.1556396484375,3.071939799667262
002.png,w/o trajectory selection,5.692683797895987,19.50042724609375,3.079652760587761
002.png,w/o QAT (post-quant),5.336324755591759,19.5233154296875,3.0923685736000204
002.png,Full (DT--QAT),5.885234565292046,19.29052734375,3.072489105962115
003.png,w/o Rich teacher,1.3264144776855942,37.79656982421875,4.023861387492264
003.png,w/o trajectory selection,0.3959756843982156,42.3138427734375,4.538040671713556
003.png,w/o QAT (post-quant),0.1,43.841796875,4.664938081680545
003.png,Full (DT--QAT),0.1,43.841796875,4.664938081680545
004.png,w/o Rich teacher,3.7101038073587205,22.80584716796875,3.089469868963685
004.png,w/o trajectory selection,2.104943394301399,24.20465087890625,3.2880463430165165
004.png,w/o QAT (post-quant),3.715984237201277,22.68798828125,3.0836707729524857
004.png,Full (DT--QAT),4.535229219444332,22.6278076171875,3.0409521250924683
005.png,w/o Rich teacher,0.1,28.4388427734375,4.487920179913291
005.png,w/o trajectory selection,0.1,28.4388427734375,4.487920179913291
005.png,w/o QAT (post-quant),2.5839430674539043,16.969970703125,3.2879943174100514
005.png,Full (DT--QAT),2.7138202758977408,16.88897705078125,3.2593535620654444
006.png,w/o Rich teacher,5.498605192859939,26.81512451171875,3.0791371062872814
006.png,w/o trajectory selection,4.413102906204707,27.7060546875,3.1740971785533794
006.png,w/o QAT (post-quant),4.123334254453717,28.007080078125,3.196277829839849
006.png,Full (DT--QAT),5.112517506789894,27.08453369140625,3.099535242508186
007.png,w/o Rich teacher,2.6786423669671358,34.8419189453125,3.691573118045432
007.png,w/o trajectory selection,4.345337614148874,34.0687255859375,3.4004486310117095
007.png,w/o QAT (post-quant),3.1612464907147784,34.55413818359375,3.60096806400565
007.png,Full (DT--QAT),3.33563199899751,34.55645751953125,3.5672789452321143
008.png,w/o Rich teacher,6.709521132669556,23.57977294921875,2.7712294859036875
008.png,w/o trajectory selection,6.389079251692093,23.56610107421875,2.783079395097619
008.png,w/o QAT (post-quant),6.731111878703847,23.5587158203125,2.774654367623225
008.png,Full (DT--QAT),6.525840481871321,23.5555419921875,2.767874416424516
009.png,w/o Rich teacher,6.749258726136187,26.06005859375,2.787421352077975
009.png,w/o trajectory selection,6.1019041081067,26.0482177734375,2.7888602032018106
009.png,w/o QAT (post-quant),5.441376209710961,26.061767578125,2.797981712717909
009.png,Full (DT--QAT),6.205736412670058,25.9647216796875,2.785946455138933
010.png,w/o Rich teacher,4.281621567349199,36.177001953125,3.3336325869925396
010.png,w/o trajectory selection,3.3939549081676996,36.8614501953125,3.4673956504917998
010.png,w/o QAT (post-quant),2.7507961791745457,37.62005615234375,3.586585463346989
010.png,Full (DT--QAT),3.7134772962912184,36.5477294921875,3.4092287454535057
011.png,w/o Rich teacher,7.652857611697827,22.67327880859375,3.067019625575234
011.png,w/o trajectory selection,7.46997906634227,22.6719970703125,3.075885464307323
011.png,w/o QAT (post-quant),7.774533876870454,22.5960693359375,3.0703982220137465
011.png,Full (DT--QAT),7.191304014058103,22.828857421875,3.0863287175526484
012.png,w/o Rich teacher,6.081288184381262,22.85693359375,2.843472343025957
012.png,w/o trajectory selection,5.972056543183387,23.032470703125,2.8460765833952215
012.png,w/o QAT (post-quant),6.250526005783973,22.88018798828125,2.846131594451168
012.png,Full (DT--QAT),5.997045824792933,22.99749755859375,2.8503270879258036
013.png,w/o Rich teacher,8.99847584845834,26.5457763671875,2.9495469833762575
013.png,w/o trajectory selection,8.038404599249187,26.47259521484375,2.9687008408079643
013.png,w/o QAT (post-quant),10.98007644271648,26.471923828125,2.9394523634567458
013.png,Full (DT--QAT),8.2983789259128,26.55328369140625,2.9532520868922925
014.png,w/o Rich teacher,4.4357412828457585,22.39501953125,3.225756385955677
014.png,w/o trajectory selection,2.378829314397237,22.08001708984375,3.4603273437238924
014.png,w/o QAT (post-quant),4.9118524299076824,22.58953857421875,3.214185451945349
014.png,Full (DT--QAT),4.827175702157,22.3548583984375,3.2137771571644778
015.png,w/o Rich teacher,6.309340409575158,24.6689453125,3.0697437230429134
015.png,w/o trajectory selection,6.222629522249839,24.63134765625,3.06170338675672
015.png,w/o QAT (post-quant),6.99726088285154,24.771240234375,3.055852806175423
