group,metric,method_A,method_B,n,mean_A,mean_B,mean_diff_A_minus_B,median_diff_A_minus_B,win_rate_A_better,cliff_delta_paired,cohen_dz,wilcoxon_p_two_sided,wilcoxon_p_one_sided,ttest_p_two_sided,boot_ci_mean_lo,boot_ci_mean_hi,boot_ci_median_lo,boot_ci_median_hi
ALL,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),65,23.38861365685096,23.52268817608173,-0.13407451923076924,0.1483154296875,0.4307692307692308,0.1076923076923077,-0.043067548024959004,0.9563225031194624,0.5218387484402688,0.7295640263925527,-0.9060133948692908,0.5798963576096753,-0.3013916015625,0.39166259765625
ALL,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),65,3.5936134653710545,3.647682113043049,-0.05406864767199384,0.019711571377547976,0.4,0.16923076923076924,-0.1943110757583056,0.7894700526462757,0.6052649736768622,0.12214300118231024,-0.12240194119744985,0.009041233931818642,-0.0024237671307609787,0.04398635748364921
SCENE::低照度20,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),20,27.13275146484375,27.245211791992187,-0.1124603271484375,0.12762451171875,0.4,0.15,-0.11405310050535793,0.6291276410777054,0.6854361794611473,0.6158829507505317,-0.5644709777832032,0.2523268890380856,-0.16680908203125,0.344207763671875
SCENE::低照度20,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),20,3.5955231415110163,3.565542300187706,0.02998084132331067,0.020253265351775962,0.35,0.25,0.4301633169017242,0.07658810329195978,0.9617059483540201,0.0694992711957652,0.0032450052062343465,0.061917599225948194,-0.004558969744275165,0.048974362452619546
SCENE::室内13,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),13,16.714003342848557,15.998197115384615,0.7158062274639423,0.4571533203125,0.3076923076923077,0.3076923076923077,0.2675980736130659,0.38037109375,0.830322265625,0.35366772870025365,-0.6916825514573317,2.154751234788161,-1.10333251953125,1.5015869140625
SCENE::室内13,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),13,4.138834636200814,4.121156023910232,0.01767861229058266,0.042405046940554136,0.3076923076923077,0.3076923076923077,0.0701428461887791,0.5185546875,0.76513671875,0.804623051976729,-0.11985646862633541,0.1476894424836217,-0.0009369671684869019,0.15651451434237806
SCENE::正常街道10,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),10,28.1527587890625,28.31024169921875,-0.15748291015625,0.348907470703125,0.4,0.2,-0.13412986445671513,0.845703125,0.4228515625,0.6814104613552543,-0.8500094604492188,0.4969731140136712,-1.3680419921875,0.666412353515625
SCENE::正常街道10,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),10,3.0858538572453273,3.0906613050607357,-0.004807447815408361,0.031080970752142,0.4,0.2,-0.027323220390341907,0.921875,0.5771484375,0.9330373332380162,-0.11011920056769592,0.09519408173588453,-0.17141753503022783,0.15367054020292503
SCENE::过曝5,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),5,28.92796630859375,23.26748046875,5.66048583984375,5.29254150390625,0.0,1.0,2.716081698269172,0.0625,1.0,0.003713270925348948,4.052294921875,7.41451416015625,3.05230712890625,8.85302734375
SCENE::过曝5,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),5,3.196500304187107,3.0077596560735778,0.18874064811353,0.142188339414703,0.0,1.0,1.253677376302638,0.0625,1.0,0.04864729240239693,0.08395151367343745,0.3180044886662873,0.008330958868989935,0.3984192505237396
SCENE::雾霾7,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),7,22.584298270089285,25.573259626116073,-2.9889613560267856,-2.55731201171875,0.7142857142857143,-0.42857142857142855,-0.9540284359861004,0.078125,0.0390625,0.045035675362225365,-5.190905543736049,-0.9715085710798012,-6.13330078125,0.07598876953125
SCENE::雾霾7,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),7,3.2788120202490396,3.7747859323830872,-0.4959739121340476,-0.5256534991140946,0.8571428571428571,-0.7142857142857143,-1.8207370880434661,0.03125,0.015625,0.0029484313597779935,-0.6773462670470554,-0.2964560935680346,-0.7296551225123884,-0.34913059553668857
SCENE::黑夜7,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),7,12.887102399553571,14.806867327008929,-1.9197649274553572,-0.40283203125,0.7142857142857143,-0.42857142857142855,-0.45784539882768965,0.296875,0.1484375,0.2713029829893103,-4.955446951729911,0.8873890468052396,-5.00872802734375,1.7489013671875
SCENE::黑夜7,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),7,3.5790254620014537,3.586878221334321,-0.007852759332867951,0.048585422238453635,0.2857142857142857,0.42857142857142855,-0.07050826725489863,0.9375,0.59375,0.858163177205286,-0.09190404883513632,0.05890610863704485,-0.08806687677660863,0.06561470220827381
HARD::Q_BRISQUE::InputTop20,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),13,29.711261455829327,30.905803973858173,-1.1945425180288463,-0.02056884765625,0.5384615384615384,-0.15384615384615385,-0.43363648851747455,0.4697265625,0.23486328125,0.1439107333498949,-2.818074622521034,0.11461733304537222,-0.5416259765625,0.31939697265625
HARD::Q_BRISQUE::InputTop20,Q_NIQE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),13,3.8027825642491635,3.902953003454014,-0.10017043920485065,0.015029031546157423,0.38461538461538464,0.15384615384615385,-0.3659718467873608,0.6220703125,0.31103515625,0.2116136043418559,-0.2664649326286473,0.01968607571757192,-0.07373740464259804,0.028930939086097673
HARD::Q_BRISQUE::BaseTop20,Q_BRISQUE,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),13,32.65644249549279,33.4883798452524,-0.8319373497596154,0.25921630859375,0.38461538461538464,0.15384615384615385,-0.33617674789613183,0.9697265625,0.48486328125,0.2487989421102288,-2.195077397273137,0.27368410550631,-0.5416259765625,0.31939697265625
