method,metric,n,mean,std,median,p10,p90,p95,worst10_mean
Input,Q_BRISQUE,65,29.665653170072115,12.828897904166416,29.5396728515625,13.76939697265625,44.945507812500004,47.781176757812496,50.360107421875
Input,Q_NIQE,65,4.126164610322127,0.8020386221983403,4.217080961018939,2.976089469531828,4.959854093398627,5.238975521825241,5.354857808956071
Global HE,Q_BRISQUE,65,32.47505727914663,14.353277408247878,29.6483154296875,16.0308349609375,51.9474365234375,53.8914306640625,56.123238699776785
Global HE,Q_NIQE,65,3.9971497386001253,0.6418209610312072,3.959932699740624,3.217925864844383,4.866647973065339,4.987040692927144,5.024627973736561
Fixed CLAHE (CL=2.0),Q_BRISQUE,65,23.52268817608173,7.684849563439499,23.99871826171875,12.56363525390625,31.9644287109375,34.3482177734375,35.29435511997768
Fixed CLAHE (CL=2.0),Q_NIQE,65,3.6476821130430483,0.6364382063086038,3.661133901725849,3.02054852065395,4.526666064553679,4.742466025626599,4.843216582619488
Rule-based Adaptive CLAHE,Q_BRISQUE,65,30.785514009915865,8.59899496748022,29.31072998046875,20.986181640625,41.02161865234375,43.833728027343746,46.136221749441965
Rule-based Adaptive CLAHE,Q_NIQE,65,3.75802418191205,0.7156184313652851,3.620452367036497,3.0386037765955094,4.705195495041622,5.074773135892924,5.2450241939655005
Adaptive Gamma Correction,Q_BRISQUE,65,27.92135009765625,10.80533647219933,27.91119384765625,12.894555664062501,40.75494384765625,42.96041259765625,44.62919398716518
Adaptive Gamma Correction,Q_NIQE,65,3.986990135057494,0.7681159633005625,4.038166183126691,3.007887452358558,4.967870862055837,5.150315888813486,5.188396803659847
MSR Retinex,Q_BRISQUE,65,28.28383319561298,10.423721113664978,28.63079833984375,14.89852294921875,39.34609375,40.94281005859375,44.802987234933035
MSR Retinex,Q_NIQE,65,4.018937253313365,0.6964834151927486,4.005051918722771,3.4118005359969827,4.861714991700819,5.226278922525078,5.245455801986656
SAC Single-Teacher,Q_BRISQUE,65,24.106044358473557,7.957002047401024,25.23651123046875,12.50064697265625,32.37806396484375,34.99310302734374,35.281363351004465
SAC Single-Teacher,Q_NIQE,65,3.620734812877367,0.6338972898829397,3.6375203362489548,2.9744935993863253,4.424703357232928,4.723246659812386,4.789918082458651
Proposed: Dual-Teacher Distill + QAT Student,Q_BRISQUE,65,23.38861365685096,7.786820702892887,24.5477294921875,12.80440673828125,31.99739990234375,32.3997314453125,33.785731724330354
Proposed: Dual-Teacher Distill + QAT Student,Q_NIQE,65,3.5936134653710545,0.606135430013668,3.6342572598802647,2.9515318743331616,4.410572744405733,4.735232625224984,4.715532620805748
