frame_index,sample_count,mean_q16,variance_q16,renyi2_q16,obs0,obs1,obs2,obs3,obs4,cl_phys_q12,clip_limit_raw,clip_limit_clamped,clip_limit_smooth,smoothing_triggered,smoothing_delta
0,76800,3771316,130124247,381176,-955,745,-92,2976,-5794,13752,448,448,772,1,452
1,76800,3789441,131561744,381176,-930,799,-92,2976,-5794,14132,460,460,644,1,312
2,76800,4272711,161035934,394390,-259,1924,539,2976,-5794,20748,675,675,675,0,31
3,76800,4734288,196887269,404352,382,3291,1014,2976,-5794,24584,800,800,800,0,125
4,76800,4906775,204115853,409756,621,3567,1272,2976,-5794,25008,814,814,814,0,14
5,76800,5016227,210776888,415488,773,3821,1545,2976,-5794,25358,825,825,825,0,11
6,76800,5162888,216220246,418490,977,4029,1689,2976,-5794,25346,825,825,825,0,0
7,76800,5316586,223320078,424795,1190,4300,1989,2976,-5794,25080,816,816,816,0,9
8,76800,5442527,230764197,431552,1365,4584,2311,2976,-5794,25156,819,819,819,0,3
9,76800,5582493,237164308,435120,1559,4828,2482,2976,-5794,25168,819,819,819,0,0
10,76800,5721370,245189229,438828,1752,5134,2658,2976,-5794,25232,821,821,821,0,2
11,76800,5867557,252569764,442688,1954,5416,2842,2976,-5794,25016,814,814,814,0,7
12,76800,5992998,260969526,446712,2128,5736,3034,2976,-5794,25066,816,816,816,0,2
13,76800,6133381,269860264,450915,2323,6075,3235,2976,-5794,24942,812,812,812,0,4
14,76800,6272185,277821755,455313,2516,6379,3444,2976,-5794,24590,800,800,800,0,12
15,76800,6412814,287083461,459926,2711,6732,3664,2976,-5794,23900,778,778,778,0,22
16,76800,6545221,296043422,459926,2895,7074,3664,2976,-5794,23652,770,770,770,0,8
17,76800,6656505,305124521,464776,3049,7420,3896,2976,-5794,21906,713,713,713,0,57
18,76800,6779339,314492905,464776,3219,7778,3896,2976,-5794,21556,702,702,702,0,11
19,76800,6902545,323399108,469888,3390,8118,4140,2976,-5794,17328,564,564,564,0,138
20,76800,7020236,333642825,469888,3554,8508,4140,2976,-5794,17590,573,573,573,0,9
21,76800,7150073,342221633,469888,3734,8836,4140,2976,-5794,17248,561,561,561,0,12
22,76800,7260950,351307032,475292,3888,9182,4397,2976,-5794,10908,355,355,355,0,206
23,76800,7369303,361473422,475292,4038,9570,4397,2976,-5794,13702,446,446,446,0,91
24,76800,7491525,370645816,475292,4208,9920,4397,2976,-5794,14618,476,476,476,0,30
25,76800,7591730,379671026,475292,4347,10264,4397,2976,-5794,16384,533,533,533,0,57
26,76800,7691679,388514747,475292,4485,10601,4397,2976,-5794,17438,568,568,568,0,35
27,76800,7799455,396873282,475292,4635,10920,4397,2976,-5794,18016,586,586,586,0,18
28,76800,7883570,405293730,475292,4752,11242,4397,2976,-5794,18896,615,615,615,0,29
29,76800,7974108,413321799,475292,4877,11548,4397,2976,-5794,19594,638,638,638,0,23
