frame_index,sample_count,mean_q16,variance_q16,renyi2_q16,obs0,obs1,obs2,obs3,obs4,cl_phys_q12,clip_limit_raw,clip_limit_clamped,clip_limit_smooth,smoothing_triggered,smoothing_delta
0,76800,1131805,7825956,311616,-4617,-3922,-3409,2976,-5794,410,13,64,772,1,836
1,76800,1423375,11859843,328854,-4213,-3768,-2587,2976,-5794,410,13,64,644,1,708
2,76800,1723925,17435048,349952,-3796,-3555,-1581,2976,-5794,410,13,64,516,1,580
3,76800,2038622,24015614,362577,-3359,-3304,-979,2976,-5794,410,13,64,388,1,452
4,76800,2345622,31479900,377152,-2933,-3019,-284,2976,-5794,410,13,64,260,1,324
5,76800,2670890,41032631,389777,-2482,-2655,319,2976,-5794,410,13,64,64,0,196
6,76800,2989922,51324248,399240,-2039,-2262,771,2976,-5794,410,13,64,64,0,0
7,76800,3294580,62490041,409756,-1617,-1836,1272,2976,-5794,410,13,64,64,0,0
8,76800,3619121,75886533,418490,-1166,-1325,1689,2976,-5794,410,13,64,64,0,0
9,76800,3940191,90532638,428113,-721,-767,2147,2976,-5794,3068,100,100,100,0,36
10,76800,4082490,96759722,431552,-523,-529,2311,2976,-5794,4640,151,151,151,0,51
11,76800,4073810,97348695,431552,-535,-507,2311,2976,-5794,4732,154,154,154,0,3
12,76800,4034990,96485144,428113,-589,-540,2147,2976,-5794,4556,148,148,148,0,6
13,76800,4057026,98763811,431552,-559,-453,2311,2976,-5794,4988,162,162,162,0,14
14,76800,4068880,99857954,431552,-542,-411,2311,2976,-5794,5300,173,173,173,0,11
15,76800,4046273,99904509,428113,-574,-409,2147,2976,-5794,5380,175,175,175,0,2
16,76800,4081686,102304017,431552,-525,-318,2311,2976,-5794,5938,193,193,193,0,18
17,76800,4117514,103767664,431552,-475,-262,2311,2976,-5794,6440,210,210,210,0,17
18,76800,4154928,106932158,431552,-423,-141,2311,2976,-5794,7312,238,238,238,0,28
19,76800,4151480,107695845,431552,-428,-112,2311,2976,-5794,7464,243,243,243,0,5
20,76800,4184971,108655747,431552,-381,-75,2311,2976,-5794,7798,254,254,254,0,11
21,76800,4197950,109830248,431552,-363,-30,2311,2976,-5794,8074,263,263,263,0,9
22,76800,4187464,110057304,431552,-378,-22,2311,2976,-5794,8080,263,263,263,0,0
23,76800,4188718,110948746,431552,-376,13,2311,2976,-5794,8254,269,269,269,0,6
24,76800,4181544,111725218,431552,-386,43,2311,2976,-5794,8378,273,273,273,0,4
25,76800,4194733,112224990,431552,-368,62,2311,2976,-5794,8504,277,277,277,0,4
26,76800,4193262,112883721,431552,-370,87,2311,2976,-5794,8622,281,281,281,0,4
27,76800,4207774,114466352,431552,-350,147,2311,2976,-5794,8964,292,292,292,0,11
28,76800,4199684,114302998,431552,-361,141,2311,2976,-5794,8906,290,290,290,0,2
29,76800,4207843,115036662,431552,-349,169,2311,2976,-5794,9066,295,295,295,0,5
